# LAMMPS data file written by OVITO Basic 3.9.4

3864 atoms
4 atom types

0.0 130.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

160 1 0.0 90.0388464137 7.1062580289 0.0218803767
161 1 0.0 91.5650189306 7.0948719896 0.0541446609
162 2 0.0 85.7862176871 9.6000508052 12.2528873206
163 2 0.0 89.467508197 8.0926242763 0.0510542122
164 2 0.0 92.1491888005 8.072479419 0.1024792783
165 4 0.0 77.9417258812 13.1489924748 12.2488079283
166 3 0.0 77.9199443098 10.5607075332 12.0983648864
167 1 0.0 77.1623801908 11.8773504801 12.2782289998
168 2 0.0 88.4647903453 9.5792292985 12.3307666274
169 1 0.0 94.8923383266 12.6979388449 12.0513900664
170 1 0.0 93.6018549994 13.508853205 12.1002191556
171 1 0.0 92.3183324721 12.6775931163 12.0840252045
172 1 0.0 92.3053671466 11.1590641325 12.0073820772
173 1 0.0 93.6042395582 10.3542637973 11.9416173292
174 1 0.0 94.8918748301 11.1754926955 11.9777137698
175 2 0.0 93.5951326003 14.6463382006 12.1777276086
176 2 0.0 93.6108270967 9.214894318 11.8966203964
177 4 0.0 96.294472542 13.1959136604 12.1640060164
178 3 0.0 96.2964833664 10.6732670609 12.0408825409
179 1 0.0 97.1271792424 11.932255294 12.1661075216
180 1 0.0 101.6531649558 11.8991973813 12.3584570476
181 1 0.0 100.8950825903 10.5665826544 12.3392962657
182 1 0.0 99.3697610315 10.5781011941 12.2950410406
183 1 0.0 98.6350380528 11.9228427813 12.2886129073
184 1 0.0 103.0388464137 7.1062580289 0.0218803767
185 1 0.0 104.5650189306 7.0948719896 0.0541446609
186 2 0.0 98.7862176871 9.6000508052 12.2528873206
187 2 0.0 102.467508197 8.0926242763 0.0510542122
188 2 0.0 105.1491888005 8.072479419 0.1024792783
189 4 0.0 90.9417258812 13.1489924748 12.2488079283
190 3 0.0 90.9199443098 10.5607075332 12.0983648864
191 1 0.0 90.1623801908 11.8773504801 12.2782289998
192 2 0.0 101.4647903453 9.5792292985 12.3307666274
193 1 0.0 107.8923383266 12.6979388449 12.0513900664
194 1 0.0 106.6018549994 13.508853205 12.1002191556
195 1 0.0 105.3183324721 12.6775931163 12.0840252045
196 1 0.0 105.3053671466 11.1590641325 12.0073820772
197 1 0.0 106.6042395582 10.3542637973 11.9416173292
198 1 0.0 107.8918748301 11.1754926955 11.9777137698
199 2 0.0 106.5951326003 14.6463382006 12.1777276086
200 2 0.0 106.6108270967 9.214894318 11.8966203964
201 4 0.0 109.294472542 13.1959136604 12.1640060164
202 3 0.0 109.2964833664 10.6732670609 12.0408825409
203 1 0.0 110.1271792424 11.932255294 12.1661075216
204 1 0.0 114.6531649558 11.8991973813 12.3584570476
205 1 0.0 113.8950825903 10.5665826544 12.3392962657
206 1 0.0 112.3697610315 10.5781011941 12.2950410406
207 1 0.0 111.6350380528 11.9228427813 12.2886129073
208 1 0.0 116.0388464137 7.1062580289 0.0218803767
209 1 0.0 117.5650189306 7.0948719896 0.0541446609
210 2 0.0 111.7862176871 9.6000508052 12.2528873206
211 2 0.0 115.467508197 8.0926242763 0.0510542122
212 2 0.0 118.1491888005 8.072479419 0.1024792783
213 4 0.0 103.9417258812 13.1489924748 12.2488079283
214 3 0.0 103.9199443098 10.5607075332 12.0983648864
215 1 0.0 103.1623801908 11.8773504801 12.2782289998
216 2 0.0 114.4647903453 9.5792292985 12.3307666274
217 1 0.0 120.8923383266 12.6979388449 12.0513900664
218 1 0.0 119.6018549994 13.508853205 12.1002191556
