# LAMMPS data file written by OVITO Basic 3.9.4

4096 atoms
4 atom types

0.0 138.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

175 1 0.0 112.5644389306 7.0948719896 0.0541446609
176 2 0.0 106.7860376871 9.6000508052 12.2528873206
177 2 0.0 110.468388197 8.0926242763 0.0510542122
178 2 0.0 113.1488288005 8.072479419 0.1024792783
179 4 0.0 98.9417324325 12.9489939372 12.2488079283
180 3 0.0 98.9208028026 10.8608225721 12.0983648864
181 1 0.0 98.1624001908 11.8773504801 12.2782289998
182 2 0.0 109.4653903453 9.5792292985 12.3307666274
183 1 0.0 115.8916583266 12.6979388449 12.0513900664
184 1 0.0 114.6020549994 13.508853205 12.1002191556
185 1 0.0 113.3194724721 12.6775931163 12.0840252045
186 1 0.0 113.3046071466 11.1590641325 12.0073820772
187 1 0.0 114.6051995582 10.3542637973 11.9416173292
188 1 0.0 115.8916348301 11.1754926955 11.9777137698
189 2 0.0 114.5946726003 14.6463382006 12.1777276086
190 2 0.0 114.6121070967 9.214894318 11.8966203964
191 4 0.0 117.2939990934 12.9959151228 12.1640060164
192 3 0.0 117.2960252197 10.9731476349 12.0408825409
193 1 0.0 118.1268992424 11.932255294 12.1661075216
194 1 0.0 122.6525049558 11.8991973813 12.3584570476
195 1 0.0 121.8947825903 10.5665826544 12.3392962657
196 1 0.0 120.3705410315 10.5781011941 12.2950410406
197 1 0.0 119.6349580528 11.9228427813 12.2886129073
198 1 0.0 124.0378864137 7.1062580289 0.0218803767
199 1 0.0 125.5654189306 7.0948719896 0.0541446609
200 2 0.0 119.7856376871 9.6000508052 12.2528873206
201 2 0.0 123.467988197 8.0926242763 0.0510542122
202 2 0.0 126.1498088005 8.072479419 0.1024792783
203 4 0.0 111.9413324325 12.9489939372 12.2488079283
